hid,name,city,distance_from_center,price,tax,hotel_type,rating_value,image_urls
htl_id_seo_5454116700430848498,Mosaic Hotel and Restaurant,Gonda,2.8 km drive to Gonda Junction Railway Station,646,+ ₹153 taxes & fees,Hotel,2.5/5,"['https://r1imghtlak.ibcdn.com/6932a9802d2711ee91140a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/1ed1587c091a11ee9a660a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/1f35075a091a11ee9d670a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/1fbe71ca091a11ee9c610a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202306121747337557-ee08c102091a11ee9b890a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp']"
htl_id_seo_1200601176808671343,"Hotel White Stone, Gonda",Gonda,2.0 km drive to Gonda Junction Railway Station,1357,+ ₹349 taxes & fees,Hotel,3.2/5,"['https://r1imghtlak.ibcdn.com/b6770b56-9f19-432f-882c-a6807ac923d1.png?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/b6770b56-9f19-432f-882c-a6807ac923d1.png?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/e0eea688be5211ee8b880a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/1424fe7ca9df11eeb5e70a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/e6dade02-b114-4804-94bc-9762dc16a168.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/035b97fd-53b6-4b82-8104-1546c2652454.jpg?output-quality=75&downsize=200:113&output-format=webp']"
htl_id_seo_9088783560323685260,HOTEL RAMSEWKA RESIDENCY,Gonda,2.4 km drive to Gonda Junction Railway Station,1960,+ ₹456 taxes & fees,Guest House,4.1/5,"['https://r1imghtlak.ibcdn.com/8ad224b8839811eeb2de0a58a9feac02.jpeg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/8ad224b8839811eeb2de0a58a9feac02.jpeg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/a1de49a2839811eead180a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/c2dd1a06850b11eea38d0a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/781163c8851611eebba80a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/77f49e50851611ee82270a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp']"
htl_id_seo_6154590608179772312,Hotel Raj Ganga,Gonda,730 m drive to Gonda Junction Railway Station,799,+ ₹187 taxes & fees,Hotel,2.8/5,"['https://r1imghtlak.ibcdn.com/18401dcc35b811ec904e0a58a9feac02.jfif?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/18401dcc35b811ec904e0a58a9feac02.jfif?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/b8076fce438f11ec92d50a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/18dc0a8435b811ec88380a58a9feac02.jfif?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/7dec2262438f11ec86680a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/7e71dc04438f11ec97c90a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp']"
htl_id_seo_1817253331363804034,Yashmay Villa Club & Resort,Gonda,7.8 km drive to Gonda Junction Railway Station,2886,+ ₹716 taxes & fees,Hotel,4.5/5,"['https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202103251143451246-ffed9b10a3e111eeb0a70a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202103251143451246-ffed9b10a3e111eeb0a70a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/5c12f302c4f311eb9a8e0242ac110004.png?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/84dc422ac4f311eb98620242ac110004.png?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/5d0ac73ac4f311eba64f0242ac110004.png?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/5b2ddd34028911ec974d0a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp']"
htl_id_seo_8469088166950410859,Hotel Shalimar,Gonda,3.6 km drive to Gonda Junction Railway Station,1597,+ ₹380 taxes & fees,Hotel,3.1/5,"['https://r1imghtlak.ibcdn.com/5d6b4d88b9cb11eea9740a58a9feac02.jpeg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/5d6b4d88b9cb11eea9740a58a9feac02.jpeg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/fd2e771484bc11ec9c450a58a9feac02.jfif?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/37c8401f-a2b3-4417-9590-a53e467df0bd.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/514ddf79-a3d1-430c-8b93-339ead7ba404.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/a11cabe2-92e7-41d3-9b26-180adae325f0.jpg?output-quality=75&downsize=200:113&output-format=webp']"
htl_id_seo_4983007501545021390,HOTEL PLATINUM SHRAVASTI,Shravasti,32.0 km from Gonda,3700,+ ₹814 taxes & fees,Hotel,,"['https://r1imghtlak.ibcdn.com/4ef6febc2d4a11ea86ee0242ac110007.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/4ef6febc2d4a11ea86ee0242ac110007.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/4ef2e89a2d4a11ea929a0242ac110003.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/53762f302d4a11ea9ce10242ac110007.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/a64b67c23d1a11eaac880242ac110004.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/982a45243e7211eaa8b50242ac110002.jpg?output-quality=75&downsize=200:113&output-format=webp']"
htl_id_seo_1150626173829728380,Tulip Inn Shravasti,Shravasti,32.1 km from Gonda,3816,+ ₹458 taxes & fees,Hotel,,"['https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202311041156132709-8d66910e7ad911ee82bb0a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202311041156132709-8d66910e7ad911ee82bb0a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202311041156132709-3233af8a7ae111ee92c40a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202311041156132709-8de6be247ad911eea4a20a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202311041156132709-cdd4f0c87ad911ee82bb0a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202311041156132709-cdf11e2e7ad911ee8b960a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp']"
htl_id_seo_2112526796111411030,CITY PARADISE AC DELUX LODGE,Balrampur,32.4 km from Gonda,1300,+ ₹156 taxes & fees,Hotel,,"['https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202108031225214799-f07d30daf14811ebabba0a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202108031225214799-f07d30daf14811ebabba0a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202108031225214799-f007c426f14811eb8d130a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/d8abe352144811ecb4750a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/d8a4347c144811ecab360a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202108031225214799-80ebba56f14911eb874d0a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp']"
htl_id_seo_2037282469008321968,Hotel Avadh,Alijanpurva,32.7 km from Gonda,1200,+ ₹144 taxes & fees,Hotel,,"['https://r1imghtlak.ibcdn.com/9fab1486fc9b11e9b4500242ac110003.jpeg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/9fab1486fc9b11e9b4500242ac110003.jpeg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/8a4b9ad485b411e88c1f02755708f0b3.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/8c91037485b411e8a2120a83569e7bbc.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/8de8e35485b411e88aeb0a806ece5db8.png?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/c93aab601e4a11eabb1f0242ac110002.jpeg?output-quality=75&downsize=200:113&output-format=webp']"
htl_id_seo_6310656227875619136,Ban Sarita Resort,Bahraich,48.4 km from Gonda,1850,+ ₹222 taxes & fees,Resort,,"['https://r1imghtlak.ibcdn.com/60bb2172a31c11ee8e050a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/60bb2172a31c11ee8e050a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/201412241908465911-07ac3842091011e9987c0242ac110003.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/201412241908465911-9c6a7fac11a811e9851b0242ac110002.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/494374bec48711e8935d0224510f5e5b.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/201412241908465911-08939c66090911e98f3e0242ac110002.jpg?output-quality=75&downsize=200:113&output-format=webp']"
htl_id_seo_6897130796477655992,Devis Heritage,Bahraich,48.4 km from Gonda,1399,+ ₹167 taxes & fees,Hotel,,"['https://r1imghtlak.ibcdn.com/a98de24cd1e711edad840a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/a98de24cd1e711edad840a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/a9e76e5cd1e711ed9f860a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/a94b9018d1e711ed84e10a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/c89315b8d1e711edb5120a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/a97b3c64d1e711edbb7e0a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp']"
